food,Protein,Fat,Carbohydrates,Dietary Fiber,Vitamin A,Vitamin C,Vitamin D,Zinc,Iron,Calcium,Selenium
arepa,5.4,5.3,36.4,2.5,0.011,0.0,0.0,0.8,1.0,87.2,0.04
arrowhead,0.6,0.084,2.4,0.0,0.0,0.1,0.0,0.094,0.3,1.2,0.09
arrowroot,5.1,0.2,16.1,1.6,0.0,2.3,0.0,0.8,2.7,7.2,0.061
arrowroot flour,0.4,0.1,112.8,4.4,0.0,0.0,0.0,0.067,0.4,51.2,0.0
arroz con abichuelas,6.2,5.4,37.3,4.1,0.0,0.0,0.0,1.1,1.9,23.6,0.071
arroz con frijoles,6.8,5.6,35.6,5.0,0.0,0.0,0.0,1.1,2.3,54.0,0.069
arroz con grandules,4.0,5.7,35.4,1.6,0.0,0.0,0.0,0.9,0.3,9.2,0.0
arroz con leche,8.1,9.3,63.0,1.3,0.0,0.0,0.0,1.3,0.6,227.7,0.006
artichoke cooked,3.5,0.4,14.3,10.3,0.0,0.028,8.9,0.074,0.2,0.035,343.2
artichoke raw,4.2,0.2,13.5,6.9,0.0,0.1,15.0,0.056,0.3,0.045,473.6
arugula,0.5,0.1,0.7,0.3,0.0,3.0,0.0,0.091,0.3,32.0,0.011
asadero cheese,25.5,31.9,3.2,0.0,0.098,0.0,0.071,3.4,0.6,746.9,0.096
asian pear,0.6,0.3,13.0,4.4,0.0,4.6,0.0,0.041,0.0,4.9,0.015
asparagus canned,7.4,0.7,10.2,4.1,0.0,67.8,0.0,1.9,2.5,61.7,0.025
asparagus cooked,0.4,0.074,0.6,0.3,0.0,0.022,1.2,0.049,0.031,0.099,33.6
asparagus raw,0.3,0.037,0.5,0.3,0.0,0.067,0.7,0.058,0.039,0.088,24.2
aspartame sweetener,2.2,0.0,89.1,0.0,0.0,0.0,0.0,0.068,0.022,0.0,0.079
atlantic croaker fried,15.8,11.0,6.6,0.3,0.004,0.0,0.0,0.5,0.7,27.8,0.038
atlantic croaker raw,14.0,2.5,0.0,0.0,0.039,0.0,0.005,0.3,0.3,11.9,0.053
au jus,2.8,0.5,5.9,0.0,0.0,2.4,0.0,2.4,1.4,9.4,0.02
avocado,5.4,39.6,23.0,18.1,0.0,0.7,27.0,0.052,0.5,0.078,1309.5
avocado oil,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azumaya tofu vitasoy,32.8,16.6,9.1,2.4,0.0,0.0,0.0,0.0,5.1,711.0,0.0
babassu oil,0.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baby carrots,0.031,0.053,1.2,0.4,0.0,0.4,0.0,0.025,0.1,4.8,0.081
baby lima beans cooked,12.0,0.5,35.0,10.8,0.0,0.2,10.4,0.079,0.4,0.06,739.8
baby zucchini,0.3,0.089,0.3,0.1,0.0,3.8,0.0,0.084,0.098,2.3,0.057
bacon,3.3,10.2,0.2,0.0,0.0,0.0,0.0,0.3,0.1,1.0,0.0
bacon baked,2.9,3.5,0.1,0.0,0.0,0.084,0.0,0.003,0.054,0.047,43.7
bacon beef steak,8.2,12.5,0.2,0.0,0.0,0.0,0.0,0.9,0.5,4.0,0.02
bacon cooked,3.5,3.1,0.068,0.0,0.053,0.047,0.0,0.064,0.047,0.0,47.8
bacon grease,0.0,4.3,0.0,0.0,0.0,0.0,0.063,0.031,0.0,0.0,0.0
bacon meatless,15.4,42.5,9.1,3.7,0.0,0.0,0.0,0.6,3.5,33.1,0.004
bacon ranch salad mcdonalds,28.1,20.1,19.4,3.2,0.0,30.9,0.0,0.0,1.9,146.7,0.0
bacon roasted,3.0,3.3,0.1,0.0,0.0,0.09,0.0,0.09,0.096,0.097,45.2
bacon tomato dressing,0.3,5.3,0.3,0.04,0.064,1.3,0.0,0.045,0.057,0.6,0.009
bagel,10.0,1.5,47.9,4.0,0.0,0.1,0.0,0.099,0.2,0.019,161.7
bagel chips,21.6,26.5,116.1,7.2,0.0,0.0,0.0,1.8,8.8,42.0,0.03
bagel with ham egg cheese,26.7,18.5,52.4,0.4,0.2,0.0,0.001,2.4,4.1,185.3,0.098
baked apple pie mcdonalds,0.9,4.4,12.3,0.6,0.0,9.1,0.0,0.0,0.6,5.4,0.0
baked beans,11.1,10.3,43.3,11.0,0.0,0.2,2.2,0.052,0.3,0.0,716.0
baked beans canned,12.1,0.9,53.7,10.4,0.0,0.0,0.0,5.8,3.0,86.4,0.082
baked chips lays,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baked potato,4.3,0.2,36.6,3.8,0.0,0.5,16.6,0.028,0.2,0.057,925.6
baked potato with cheese sauce,14.6,28.7,46.5,0.0,0.3,26.0,0.0,1.9,3.0,310.8,0.042
baked potato with cheese sauce bacon,18.4,25.9,44.4,0.0,0.2,28.7,0.0,2.2,3.1,308.0,0.01
baked potato with sour cream,6.7,22.3,50.0,0.0,0.2,33.8,0.0,0.9,3.1,105.7,0.088
baked taco shell,0.8,2.7,8.3,0.9,0.0,0.0,0.0,0.2,0.2,12.5,0.097
bakers yeast,1.4,0.3,3.1,1.4,0.0,0.04,0.0,1.7,0.6,3.2,0.073
bakers yeast dry,1.6,0.3,1.6,1.1,0.0,0.038,0.0,0.3,0.051,1.2,0.006
baking chocolate,3.7,15.2,8.7,4.8,0.0,0.0,0.0,2.8,5.0,29.3,0.072
baking powder,0.0,0.0,1.3,0.03,0.0,0.0,0.0,0.091,0.5,270.3,0.004
baking soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018
balsamic vinegar,0.041,0.0,2.7,0.0,0.0,0.0,0.0,0.033,0.1,4.3,0.0
bamboo shoots cooked,1.8,0.3,2.3,1.2,0.0,0.1,0.0,0.046,0.083,0.0,639.6
bamboo shoots raw,4.7,0.5,9.4,4.0,0.0,0.4,7.2,0.001,0.3,0.0,959.4
banana,1.6,0.5,34.3,3.9,0.0,0.6,13.1,0.049,0.1,0.035,537.0
banana bread,2.5,6.0,31.1,0.6,0.068,1.0,0.0,0.2,0.8,12.0,0.096
banana chips,0.7,9.5,16.5,2.2,0.0,1.8,0.0,0.2,0.4,5.1,0.06
banana cream pie,52.2,161.3,390.2,8.3,0.7,19.0,0.009,5.7,12.3,889.5,0.1
banana pepper,0.5,0.1,1.8,1.1,0.0,27.3,0.0,0.097,0.2,4.6,0.032
barbecue loaf,3.6,2.0,1.5,0.0,0.0,0.0,0.099,0.6,0.3,12.7,0.009
barbecue sauce,0.1,0.1,6.9,0.2,0.0,0.1,0.0,0.038,0.1,5.6,0.044
barbecue sauce bulls eye,0.1,0.1,6.4,0.2,0.0,0.094,0.0,0.041,0.1,6.9,0.0
barbecue sauce kraft,0.1,0.053,6.5,0.032,0.0,0.031,0.0,0.006,0.1,7.5,0.0
barbecue sauce mcdonalds,0.4,0.3,10.3,0.4,0.0,0.0,0.0,0.097,0.1,3.1,0.0
barbera red wine,0.1,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barley cooked,3.5,0.7,44.3,6.0,0.0,0.0,0.0,1.3,2.1,17.3,0.073
barley flour,15.5,2.4,110.3,14.9,0.0,0.0,0.0,3.0,4.0,47.4,0.037
barley raw,1.2,0.1,9.3,1.9,0.0,0.0,0.0,0.3,0.3,3.5,0.019
bartlett pear,0.7,0.3,26.6,5.5,0.0,7.8,0.0,0.1,0.3,15.9,0.044
basil dried,0.2,0.027,0.3,0.3,0.0,0.047,0.033,0.054,0.082,0.078,18.4
basil fresh,0.2,0.089,0.2,0.1,0.0,0.074,1.3,0.085,0.075,0.047,20.7
bass cooked,15.0,2.9,0.0,0.0,0.073,1.3,0.0,0.5,1.2,63.9,0.026
bass raw,14.9,2.9,0.0,0.0,0.004,1.6,0.0,0.5,1.2,63.2,0.057
bay leaf,0.086,0.042,0.4,0.2,0.0,0.3,0.0,0.081,0.3,5.0,0.077
bean ham soup,10.3,2.5,33.5,9.8,0.0,2.7,0.0,1.3,2.5,93.1,0.021
bean with bacon soup,5.5,2.1,16.4,9.0,0.0,1.1,0.0,0.7,1.3,55.7,0.015
bean with frankfurters soup,10.0,7.0,22.0,0.0,0.0,1.0,0.0,1.2,2.4,87.5,0.073
bean with pork soup,15.3,11.5,44.1,15.3,0.021,3.1,0.0,2.0,4.0,156.0,0.052
beechnuts dried,1.9,15.0,10.1,0.0,0.0,4.7,0.0,0.1,0.7,0.3,0.0
beef bologna,3.3,7.8,1.3,0.0,0.4,0.085,4.6,0.018,0.01,0.053,105.3
beef bottom round steak cooked,155.8,35.1,0.0,0.0,0.0,0.0,0.075,26.8,13.0,31.8,0.2
beef brain cooked,44.1,55.6,0.0,0.0,0.0,11.6,0.0,4.7,7.8,31.6,0.09
beef breakfast strips cooked,3.5,3.9,0.2,0.0,0.0,0.0,0.025,0.7,0.4,1.0,0.023
beef breakfast strips raw,2.8,8.8,0.2,0.0,0.0,5.4,0.0,0.5,0.3,0.9,0.033
beef brisket cooked,46.0,43.6,0.0,0.0,0.0,0.0,0.041,10.3,4.4,12.5,0.063
