food,Protein,Fat,Carbohydrates,Dietary Fiber,Vitamin A,Vitamin C,Vitamin D,Zinc,Iron,Calcium,Selenium
brie cheese,6.2,8.3,0.1,0.0,0.014,0.0,0.068,0.7,0.2,55.2,0.04
broccoli cooked,6.7,1.1,20.1,9.2,0.0,0.6,181.7,0.008,0.2,0.4,820.4
broccoli raab cooked,3.3,0.4,2.7,2.4,0.0,0.2,31.5,0.069,0.06,0.2,291.6
broccoli raab raw,1.3,0.2,1.1,1.1,0.0,0.064,8.1,0.072,0.022,0.074,78.4
broccoli raw,2.6,0.3,6.0,2.4,0.0,0.2,81.2,0.036,0.016,0.092,287.6
brown gravy dry,0.6,0.6,3.6,0.1,0.033,0.048,0.0,0.013,0.1,7.9,0.038
brown gravy instant,0.6,0.8,4.0,0.2,0.0,0.1,0.0,0.087,0.5,7.8,0.06
brown rice cake,0.7,0.3,7.3,0.4,0.0,0.0,0.0,0.3,0.1,1.0,0.099
brown rice cooked,4.5,1.6,45.8,3.5,0.0,0.0,0.0,1.2,1.0,19.5,0.093
brown rice raw,14.7,5.4,142.9,6.5,0.0,0.0,0.0,3.7,2.7,42.6,0.038
brown sugar,0.024,0.0,4.1,0.0,0.0,0.0,0.0,0.08,0.071,3.5,0.023
brownie,2.9,9.8,38.3,1.3,0.02,0.0,0.0,0.4,1.4,17.4,0.053
brussels sprouts cooked,0.5,0.1,1.5,0.5,0.0,13.0,0.0,0.067,0.3,7.6,0.055
brussels sprouts raw,0.6,0.077,1.7,0.7,0.0,16.2,0.0,0.059,0.3,8.0,0.06
buckwheat cooked,5.7,1.0,33.5,4.5,0.0,0.0,0.0,1.0,1.3,11.8,0.044
buckwheat flour,15.1,3.7,84.7,12.0,0.0,0.0,0.0,3.7,4.9,49.2,0.04
buckwheat raw,1.6,0.4,8.6,1.2,0.0,0.0,0.0,0.3,0.3,2.2,0.094
bulgur cooked,5.6,0.4,33.8,8.2,0.0,0.0,0.0,1.0,1.7,18.2,0.026
bulgur dry,6.1,0.7,37.9,9.2,0.0,0.0,0.0,1.0,1.2,17.5,0.073
burbot cooked,22.3,0.9,0.0,0.0,0.071,0.0,0.0,0.9,1.0,57.6,0.002
burbot raw,22.4,0.9,0.0,0.0,0.081,0.0,0.0,0.9,1.0,58.0,0.043
burdock root cooked,3.5,0.2,35.1,3.0,0.0,4.3,0.0,0.6,1.3,81.3,0.053
burdock root raw,1.8,0.2,20.5,3.9,0.0,3.5,0.0,0.4,0.9,48.4,0.097
burgundy red wine,0.1,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burrito with beans,7.0,6.7,35.7,0.0,0.0,1.0,0.0,0.8,2.3,56.4,0.024
burrito with beans beef,27.8,18.0,47.0,7.2,0.096,4.6,0.059,4.8,4.6,216.9,0.031
burrito with beans cheese,13.6,11.2,57.8,7.8,0.033,0.7,0.02,1.6,4.4,229.4,0.04
burrito with beans cheese beef,7.3,6.6,19.8,0.0,0.0,2.5,0.0,1.2,1.9,65.0,0.051
burrito with beef,9.1,8.1,43.9,4.4,0.036,0.1,0.4,0.002,0.2,0.042,270.9
butter croissant,4.7,12.0,26.1,1.5,0.1,0.1,0.0,0.4,1.2,21.1,0.054
butter toastbrot ja,0.0,0.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butterbur,0.1,0.2,0.5,0.0,0.0,14.8,0.0,0.015,0.8,42.2,0.045
butterfish cooked,5.5,2.6,0.0,0.0,0.029,0.0,0.0,0.2,0.2,7.0,0.02
butterfish raw,5.5,2.6,0.0,0.0,0.031,0.0,0.0,0.2,0.2,7.0,0.067
buttermilk dressing light,0.2,1.9,3.2,0.2,0.023,0.061,0.0,0.002,0.1,6.0,0.098
buttermilk pancakes,2.6,3.5,10.9,0.0,0.094,0.2,0.0,0.2,0.6,59.7,0.073
buttermilk waffle,2.4,3.1,16.0,0.9,0.1,0.0,0.0,0.2,2.2,98.7,0.008
butternut squash cooked,1.8,0.2,21.0,6.4,0.0,30.2,0.0,0.3,1.2,82.0,0.065
butternut squash raw,2.0,0.2,23.4,4.0,0.0,0.3,42.0,0.024,0.1,0.075,704.0
butternuts dried,29.9,68.4,14.5,5.6,0.0,3.8,0.0,3.8,4.8,63.6,0.028
butterscotch,0.079,0.2,4.8,0.0,0.076,0.0,0.0,0.001,0.02,0.2,0.011
cabarnet franc red wine,0.1,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage cooked,1.9,0.019,8.3,2.9,0.0,0.2,56.3,0.023,0.067,0.2,294.0
cabbage raw,3.6,0.3,16.2,7.0,0.0,0.3,102.5,0.057,0.083,0.2,476.0
cabernet sauvignon red wine,0.1,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caesar dressing,0.3,8.5,0.5,0.036,0.092,0.057,0.097,0.018,0.2,7.1,0.073
caesar dressing low calorie,0.028,0.7,2.8,0.053,0.087,0.0,0.0,0.029,0.016,3.6,0.05
caesar salad mcdonalds,6.8,4.4,9.1,3.4,0.0,30.0,0.0,0.0,1.3,183.2,0.068
caesar salad with crispy chicken mcdonalds,25.7,16.4,19.2,3.4,0.0,30.9,0.0,0.0,1.8,188.5,0.0
caesar salad with grilled chicken mcdonalds,29.1,5.6,11.3,3.3,0.0,31.4,0.0,0.0,1.8,189.4,0.0
camembert cheese,5.9,7.3,0.1,0.0,0.091,0.0,0.093,0.7,0.063,116.4,0.035
canadian maple syrup,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.2,0.088,30.8,0.0
canadian style bacon grilled,5.7,2.0,0.3,0.0,0.0,0.0,0.048,0.4,0.2,2.4,0.058
canadian style bacon raw,5.9,2.0,0.5,0.0,0.0,0.0,0.004,0.4,0.2,2.3,0.082
canola oil,0.0,14.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.088,0.0
cantaloupe melon,1.5,0.3,14.4,1.6,0.0,0.1,65.0,0.082,0.018,0.028,472.6
capers canned,0.2,0.089,0.4,0.3,0.0,0.4,0.0,0.092,0.1,3.4,0.042
carambola starfruit,0.9,0.3,5.7,2.4,0.0,0.039,29.2,0.045,0.1,0.0,113.1
caramel custard flan,13.9,12.3,69.7,0.0,0.1,0.0,0.0,1.4,1.2,254.0,0.05
caramel med iced coffee dunkin donuts,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caramel popcorn,1.1,3.6,22.4,1.5,0.066,0.0,0.0,0.2,0.5,12.2,0.067
caramel with nuts chocolate coated,1.3,2.9,8.5,0.6,0.028,0.2,0.0,0.3,0.2,10.9,0.094
caramels,0.5,0.8,7.8,0.0,0.021,0.024,0.0,0.057,0.049,13.9,0.087
caraway cheese,7.1,8.3,0.9,0.0,0.014,0.0,0.0,0.8,0.2,190.5,0.009
caraway seeds,1.3,1.0,3.3,2.5,0.0,1.4,0.0,0.4,1.1,46.2,0.062
cardamom,0.2,0.1,1.4,0.6,0.0,0.4,0.0,0.1,0.3,7.7,0.0
cardoon cooked,0.9,0.1,6.4,2.0,0.0,2.0,0.0,0.2,0.9,86.4,0.088
cardoon raw,1.2,0.2,7.2,2.8,0.0,0.2,3.6,0.058,0.4,0.0,712.0
caribou cooked,38.0,6.4,0.0,0.0,0.1,0.0,0.0,5.7,6.3,6.6,0.073
carignane red wine,0.4,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carob,2.0,7.8,14.1,1.0,0.0,0.007,0.1,0.087,0.011,0.051,158.3
carob flour,0.3,0.061,5.3,2.4,0.0,0.088,0.0,0.087,0.2,20.9,0.087
carp cooked,38.9,12.2,0.0,0.0,0.02,2.7,0.0,3.2,2.7,88.4,0.082
carp raw,38.9,12.2,0.0,0.0,0.042,3.5,0.042,3.2,2.7,89.4,0.037
carrot juice,1.9,0.3,18.6,1.6,0.0,17.0,0.0,0.4,0.9,48.0,0.046
carrots canned,2.6,0.6,24.4,8.2,0.0,0.5,9.1,0.1,0.5,0.028,717.3
carrots cooked,0.3,0.092,3.8,1.4,0.0,1.7,0.0,0.073,0.2,13.8,0.021
carrots raw,0.6,0.1,5.8,1.7,0.0,0.084,3.6,0.012,0.022,0.028,195.2
casaba melon,1.9,0.2,11.2,1.5,0.0,37.1,0.0,0.1,0.6,18.7,0.07
cashew butter,2.8,7.9,4.4,0.3,0.0,0.0,0.0,0.8,0.8,6.9,0.056
cashew nuts raw,5.2,12.4,8.5,0.9,0.0,0.1,0.0,1.6,1.9,10.5,0.039
cashew nuts roasted,5.1,14.3,9.0,1.0,0.0,0.071,0.0,1.6,1.8,12.9,0.02
cassava,2.8,0.6,78.4,3.7,0.0,0.2,42.4,0.086,0.2,0.011,558.3
catfish cooked,26.4,10.3,0.0,0.0,0.066,0.3,0.0,0.03,0.098,0.01,523.4
catfish fried,15.7,11.6,7.0,0.6,0.0,0.0,0.0,0.7,1.2,38.3,0.098
catfish raw,24.2,9.4,0.0,0.0,0.0,0.0,0.084,0.8,0.4,12.7,0.056
catjang cowpeas cooked,13.9,1.2,34.7,6.2,0.0,0.2,0.7,0.045,0.5,0.0,641.3
catjang cowpeas raw,39.8,3.5,99.6,17.9,0.0,2.5,0.0,10.2,16.6,142.0,0.002
catsup,0.2,0.066,4.5,0.053,0.0,0.7,0.0,0.015,0.073,2.7,0.096
cattail,0.2,0.0,1.0,0.9,0.0,0.1,0.0,0.064,0.2,10.3,0.091
cauliflower cooked,2.3,0.6,5.1,2.9,0.0,0.2,54.9,0.059,0.041,0.068,176.1
cauliflower raw,0.2,0.081,0.6,0.3,0.0,0.019,6.3,0.05,0.01,0.033,38.9
caviar,3.9,2.9,0.6,0.0,0.054,0.0,0.0,0.2,1.9,44.0,0.098
cayenne pepper,0.039,0.094,0.2,0.052,0.0,0.2,0.0,0.071,0.003,0.4,0.062
celeriac cooked,1.5,0.3,9.1,0.0,0.0,5.6,0.0,0.3,0.7,40.3,0.093
celeriac raw,2.3,0.5,14.4,2.8,0.0,0.3,12.5,0.093,0.1,0.081,468.0
celery cooked,0.3,0.098,1.5,0.6,0.0,2.3,0.0,0.098,0.2,15.8,0.086
celery raw,0.3,0.045,1.2,0.6,0.0,0.007,1.2,0.031,0.056,0.086,104.0
celery seeds,1.2,1.6,2.7,0.8,0.0,1.1,0.0,0.5,2.9,114.9,0.057
celtuce,0.071,0.088,0.3,0.1,0.0,1.6,0.0,0.045,0.079,3.1,0.074
chamomile tea,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.006,0.2,4.0,0.0
chanterelle mushrooms,0.033,0.063,0.4,0.2,0.0,0.01,0.0,0.064,0.067,0.0,27.3
chaptti roti indian bread,7.0,2.5,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chardonnay white wine,0.1,0.0,4.3,0.0,0.0,0.0,0.0,0.2,0.5,18.0,0.017
chayote cooked,1.0,0.8,7.2,4.5,0.0,12.8,0.0,0.5,0.4,20.8,0.063
chayote raw,1.1,0.2,6.0,2.2,0.0,0.1,10.2,0.047,0.2,0.046,165.0
cheddar cheese,6.4,9.3,0.9,0.0,0.054,0.0,0.06,1.0,0.077,198.8,0.009
cheese bread,5.0,10.0,21.5,1.0,0.007,0.0,0.056,0.5,1.2,43.2,0.08
cheese coffeecake,5.3,11.6,33.7,0.8,0.082,0.041,0.0,0.4,0.5,44.8,0.075
cheese crackers,0.8,1.6,4.2,0.2,0.05,0.009,0.0,0.031,0.032,0.026,10.9
cheese croissant,7.4,16.7,37.6,2.1,0.2,0.2,0.0,0.8,1.7,42.4,0.027
cheese imitation,28.3,36.2,1.1,0.0,0.1,0.0,0.0,3.4,0.8,796.7,0.063
cheese lasagna,15.9,13.0,33.6,4.1,0.084,41.6,0.0,2.2,3.1,269.7,0.059
cheese pizza,12.2,10.4,35.7,2.5,0.3,0.066,1.5,0.031,0.1,0.082,184.0
cheese pizza dominos,11.7,9.7,35.9,2.4,0.068,1.0,0.0,1.3,2.5,180.4,0.026
cheese pizza pizza hut,11.5,10.5,30.0,1.7,0.075,0.0,0.0,1.6,1.9,200.6,0.022
cheese popcorn,1.0,3.7,5.7,1.1,0.09,0.074,0.0,0.2,0.2,12.4,0.096
cheese puffs,2.1,12.8,18.6,0.6,0.012,0.0,0.0,0.2,0.7,20.0,0.031
cheese ravioli canned,6.0,3.5,33.0,3.1,0.0,0.0,0.0,0.9,1.8,79.9,0.043
cheese sauce,1.5,2.2,0.8,0.071,0.003,0.067,0.023,0.2,0.047,46.7,0.078
cheese soup,2.0,9.7,28.0,5.5,0.2,0.0,0.0,0.4,0.4,89.3,0.036
cheese spread,17.0,68.6,8.4,0.0,0.7,0.0,0.091,1.2,2.7,170.4,0.065
cheese tortellini,14.6,7.8,50.8,2.1,0.079,0.0,0.0,1.1,1.6,164.2,0.064
cheeseburger,15.0,13.2,28.7,1.6,0.5,1.1,0.7,0.021,0.1,0.04,204.7
cheeseburger burger king,19.4,19.7,31.5,3.7,0.0,0.3,0.0,3.2,3.3,123.7,0.028
cheeseburger mcdonalds,15.4,14.0,33.1,1.3,0.0,0.7,0.0,2.3,2.8,198.7,0.0
cheesecake,4.4,18.0,20.4,0.3,0.1,0.3,0.078,0.4,0.5,40.8,0.079
chenin blanc white wine,0.1,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherimoya,3.7,1.6,41.6,7.1,0.0,0.6,29.6,0.0,0.2,0.0,674.5
cherries,0.068,0.056,1.3,0.2,0.0,0.079,0.6,0.0,0.026,0.053,17.8
cherry pie,5.0,22.0,69.3,0.0,0.027,1.8,0.0,0.4,3.3,18.0,0.011
chervil dried,0.4,0.002,0.9,0.2,0.0,1.0,0.0,0.2,0.6,25.6,0.031
cheshire cheese,6.6,8.7,1.4,0.0,0.004,0.0,0.0,0.8,0.005,182.0,0.006
chestnuts cooked,0.6,0.4,7.9,0.0,0.0,7.6,0.0,0.02,0.5,13.0,0.0
chestnuts raw,3.5,3.3,66.0,11.7,0.0,62.4,0.0,0.8,1.5,39.2,0.0
chestnuts roasted,0.5,0.3,7.9,0.8,0.0,3.9,0.0,0.086,0.1,4.4,0.037
chewing gum,0.0,0.032,2.9,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.045
chewing gum sugarless,0.0,0.013,1.9,0.078,0.0,0.0,0.0,0.0,0.0,0.4,0.03
chia seeds dried,4.7,8.7,11.9,9.7,0.0,0.5,0.0,1.3,2.2,178.6,0.035
chicken and rice casserole homade,2.0,1.0,2.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken back cooked,8.0,6.5,0.0,0.0,0.005,0.0,0.084,0.7,0.4,6.5,0.055
chicken back raw,8.3,17.0,0.0,0.0,0.087,0.9,0.0,0.7,0.6,7.7,0.009
chicken bouillon dry,0.7,0.6,0.7,0.0,0.0,0.048,0.0,0.083,0.061,7.5,0.079
chicken box mcdonalds,0.2,4.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chicken breast cooked,17.3,4.5,0.0,0.0,0.08,0.0,0.019,0.6,0.6,8.1,0.046
chicken breast raw,36.3,16.1,0.0,0.0,0.026,0.0,0.053,1.4,1.3,19.1,0.029
chicken broth,1.0,0.5,1.0,0.0,0.0,16.5,0.0,0.2,0.5,14.1,0.0
chicken broth dry,0.7,0.2,1.1,0.0,0.0,0.07,0.0,0.079,0.059,9.1,0.075
chicken broth soup,11.1,2.6,1.9,0.0,0.0,0.0,0.0,0.5,1.0,15.1,0.024
chicken chow mein,40.8,16.9,50.1,6.0,0.093,12.1,0.0,1.9,4.0,126.8,0.086
chicken crispy breast kentucky fried chicken,29.7,23.2,11.9,0.0,0.023,0.0,0.0,1.1,0.8,37.8,0.09
chicken crispy drumsticks kentucky fried chicken,11.8,10.1,4.5,0.0,0.071,0.0,0.0,1.0,0.5,14.3,0.064
chicken crispy wings kentucky fried chicken,9.2,10.1,5.1,0.0,0.033,0.0,0.0,0.5,0.3,15.4,0.003
chicken drumstick fried,15.8,11.3,6.0,0.2,0.028,0.0,0.0,1.7,1.0,12.2,0.018
chicken drumstick raw,23.4,12.4,0.1,0.0,0.067,0.0,0.044,2.6,0.8,13.3,0.063
chicken dumplings soup,13.6,13.4,14.7,1.2,0.077,0.0,0.0,0.9,1.5,35.8,0.048
chicken egg roll,8.4,3.6,22.8,1.9,0.085,9.0,0.0,0.4,1.4,37.6,0.032
chicken fajita strips,1.7,0.5,0.2,0.0,0.041,0.0,0.0,0.1,0.097,1.2,0.018
chicken fat,0.0,12.8,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.068
chicken feet cooked,88.0,66.2,0.9,0.0,0.1,0.0,0.068,3.1,4.1,399.2,0.033
chicken flavored rice cooked,6.2,8.0,54.8,1.6,0.068,0.0,0.0,1.1,2.2,16.3,0.088
chicken flavored rice raw,17.9,2.2,127.3,2.0,0.0,0.0,0.0,2.3,4.7,30.2,0.011
chicken gizzard cooked,44.1,3.9,0.0,0.0,0.0,0.0,0.0,6.4,4.6,24.7,0.047
chicken gravy,4.6,13.6,12.9,1.0,0.088,0.0,0.0,1.9,1.1,47.6,0.02
chicken gumbo soup,5.3,2.9,16.8,4.0,0.0,10.1,0.0,0.8,1.8,47.9,0.084
chicken heart cooked,38.3,11.5,0.1,0.0,0.033,2.6,0.0,10.6,13.1,27.6,0.027
chicken leg fried,34.4,25.5,13.8,0.5,0.07,0.0,0.0,3.4,2.2,28.4,0.041
chicken leg raw,56.3,54.9,0.6,0.0,0.018,0.7,0.033,5.1,2.4,31.0,0.091
chicken liver cooked,11.3,2.8,0.5,0.0,0.006,0.4,1.2,0.052,0.2,0.0,138.6
chicken mcnuggets mcdonalds,2.5,3.2,2.4,0.0,0.071,0.072,0.2,0.0,0.017,0.0,40.3
chicken meat raw,171.1,138.6,0.0,0.0,0.4,14.7,0.054,12.1,8.3,101.2,0.1
chicken mushroom chowder soup,16.2,23.7,38.3,7.5,0.0,10.8,0.0,0.0,2.6,0.0,0.0
chicken mushroom soup,2.0,6.1,15.1,4.0,0.04,0.0,0.0,1.0,0.9,29.0,0.046
chicken neck cooked,7.5,6.9,0.0,0.0,0.065,0.0,0.087,1.0,0.9,10.3,0.054
chicken neck raw,7.0,13.1,0.0,0.0,0.066,0.0,0.0,0.9,1.0,9.0,0.073
chicken noodle soup,7.2,4.7,18.4,2.7,0.029,0.1,0.0,0.095,0.4,0.0,145.4
chicken nuggets,3.2,4.1,3.0,0.2,0.015,0.095,0.1,0.009,0.091,0.058,50.2
chicken patty,8.9,11.7,7.7,0.2,0.0,0.0,0.0,0.6,0.6,11.4,0.014
chicken pork bologna,2.9,8.6,1.2,0.0,0.01,3.7,0.0,0.3,0.3,54.9,0.0
chicken pot pie,14.6,34.6,57.3,3.0,0.0,3.0,0.024,1.3,1.8,63.4,0.003
chicken rice soup,12.3,3.2,13.0,1.0,0.047,3.8,0.0,1.0,1.9,33.6,0.077
chicken sandwich,30.4,20.9,39.1,2.6,0.077,0.7,1.5,0.064,0.2,0.012,458.2
chicken sandwich with cheese,29.4,38.8,41.6,0.0,0.2,3.0,0.0,2.9,3.6,257.6,0.073
chicken skin roasted,22.8,45.6,0.0,0.0,0.083,0.0,0.026,1.4,1.7,15.7,0.2
chicken soup,12.4,6.5,16.9,1.5,0.027,1.2,0.0,1.0,1.7,24.5,0.099
chicken spread,10.1,9.8,2.3,0.2,0.076,0.0,0.0,0.6,0.5,9.0,0.029
chicken stock,6.0,2.9,8.5,0.0,0.009,0.5,0.0,0.3,0.5,7.2,0.091
chicken strips burger king,6.6,5.5,7.4,0.5,0.055,0.1,0.4,0.07,0.005,0.046,113.4
chicken vegetable soup,7.1,5.6,17.0,1.7,0.028,1.9,0.0,0.7,1.7,33.9,0.001
chicken wing cooked,4.8,3.5,0.0,0.0,0.041,0.0,0.022,0.3,0.2,2.5,0.092
chicken wing roasted,20.2,14.3,0.0,0.0,0.073,0.5,0.0,0.032,0.092,0.024,180.2
chickpea flour,20.6,6.2,53.2,9.9,0.0,0.0,0.0,2.6,4.5,41.4,0.079
chickpeas canned,17.8,7.0,57.0,0.0,0.0,0.3,0.0,1.6,2.7,113.9,0.0
chickpeas cooked,14.5,4.2,45.0,12.5,0.0,2.1,0.0,2.5,4.7,80.4,0.031
chickpeas raw,38.6,12.1,121.3,34.8,0.0,8.0,0.0,6.9,12.5,210.0,0.095
chicory greens,0.5,0.096,1.4,1.2,0.0,0.062,7.0,0.015,0.081,0.079,121.8
chicory roots,1.3,0.2,15.8,1.4,0.0,0.2,4.5,0.076,0.051,0.0,261.0
chihuahua cheese,28.5,39.2,7.3,0.0,0.007,0.0,0.089,4.6,0.6,859.3,0.071
chili beef soup,13.4,6.7,49.6,6.6,0.2,0.3,8.2,0.001,0.8,0.072,1052.0
chili con carne,14.7,8.8,33.1,8.3,0.4,0.3,0.5,0.039,0.6,0.063,667.9
chili pepper sauce green,0.1,0.032,0.8,0.3,0.0,10.2,0.0,0.09,0.023,0.8,0.023
chili pepper sauce red,0.1,0.089,0.6,0.1,0.0,4.5,0.0,0.037,0.051,1.4,0.06
chili peppers canned,1.0,0.4,6.4,2.4,0.0,47.5,0.0,0.1,1.8,50.0,0.043
chili powder,0.4,0.4,1.3,0.9,0.0,0.031,0.008,0.018,0.032,0.047,52.7
chili with beans canned,14.6,14.1,30.5,11.3,0.0,4.4,0.0,5.1,8.8,120.3,0.018
chili without beans canned,18.1,17.0,14.6,0.0,0.0,4.3,0.0,2.7,4.8,72.0,0.043
chimichanga with beef,19.6,19.7,42.8,0.0,0.0,4.7,0.0,5.0,4.5,62.6,0.029
chimichanga with beef cheese,20.1,23.4,39.3,0.0,0.1,2.7,0.0,3.4,3.8,237.9,0.085
chinese cabbage pak choi cooked,2.7,0.3,3.0,1.7,0.0,44.2,0.0,0.3,1.8,158.1,0.055
chinese cabbage pak choi raw,1.1,0.1,1.5,0.7,0.0,31.5,0.0,0.1,0.6,73.5,0.083
chinese cabbage pe tsai cooked,1.8,0.2,2.9,2.0,0.0,18.8,0.0,0.2,0.4,38.1,0.075
chinese cabbage pe tsai raw,0.9,0.2,2.5,0.9,0.0,20.5,0.0,0.2,0.2,58.5,0.03
chinese chestnuts roasted,1.3,0.3,14.8,0.0,0.0,10.9,0.0,0.3,0.4,5.4,0.0
chinese egg roll,7.4,10.6,24.3,2.3,0.0,0.0,0.0,0.6,1.3,35.6,0.0
chinese noodles,0.2,0.094,111.9,0.7,0.0,0.031,0.0,0.044,0.1,0.0,13.0
chinook salmon cooked,79.2,41.2,0.0,0.0,0.5,12.6,0.0,1.7,2.8,86.2,0.1
chinook salmon raw,78.9,41.3,0.0,0.0,0.5,15.8,0.0,1.7,1.0,103.0,0.1
chinook salmon smoked,24.9,5.9,0.0,0.0,0.019,0.0,0.09,0.4,1.2,15.0,0.027
chips chipotle,0.2,7.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chives dried,0.013,0.055,0.1,0.041,0.0,0.054,1.3,0.077,0.047,0.0,5.9
chives raw,0.03,0.088,0.1,0.044,0.0,0.097,1.7,0.048,0.059,0.08,8.9
chocolate,1.6,14.0,24.8,2.3,0.0,0.0,0.0,0.6,1.1,9.8,0.018
chocolate cake,5.0,14.3,50.7,1.5,0.0,0.2,0.0,0.7,1.5,57.0,0.019
chocolate cake with chocolate frosting,4.8,27.7,72.9,3.0,0.095,0.1,0.0,0.8,4.2,41.4,0.084
chocolate chip cookie,0.5,2.8,9.3,0.3,0.013,0.052,0.0,0.034,0.049,0.036,18.5
chocolate chip cookies mcdonalds,1.6,6.4,18.7,0.6,0.003,0.0,0.0,0.2,1.1,9.6,0.0
chocolate chip granola bar,1.8,3.9,17.3,1.1,0.0,0.1,0.0,0.5,0.7,18.5,0.018
chocolate coated donut,0.9,4.5,9.2,0.3,0.077,0.2,0.0,0.2,0.7,4.3,0.037
chocolate coated marshmallow,1.1,4.7,19.0,0.6,0.043,0.093,0.0,0.2,0.7,12.9,0.076
chocolate coffee beans,2.1,9.4,15.6,1.6,0.049,0.0,0.0,0.6,0.6,47.8,0.056
chocolate covered graham crackers,0.8,3.2,9.3,0.4,0.016,0.0,0.0,0.1,0.5,8.1,0.033
chocolate cream pie,2.6,19.2,33.3,2.0,0.0,0.0,0.0,0.2,1.1,35.6,0.016
chocolate donut,2.7,11.9,34.4,1.3,0.078,0.041,0.0,0.3,1.4,127.8,0.051
chocolate frosting,0.2,3.6,13.0,0.2,0.0,0.0,0.0,0.062,0.3,1.6,0.094
chocolate frozen yogurt,5.2,6.3,37.6,4.0,0.036,0.0,0.057,0.5,0.8,174.0,0.059
chocolate fudge,0.4,1.8,13.0,0.3,0.067,0.0,0.0,0.2,0.3,8.3,0.01
chocolate fudge syrup,0.9,1.7,12.0,0.5,0.07,0.023,0.0,0.2,0.2,9.3,0.044
chocolate hazelnut spread,1.0,5.5,11.5,1.0,0.0,0.0,0.0,0.2,0.8,20.0,0.021
chocolate milk dessert,5.9,1.4,51.6,0.0,0.0,1.0,0.0,0.6,0.02,211.0,0.053
chocolate mousse,6.2,24.0,24.1,0.9,0.2,0.2,0.0,1.0,0.8,144.0,0.047
chocolate pie crust,11.1,40.8,117.4,4.9,0.0,0.0,0.0,3.8,7.8,58.2,0.033
chocolate powder for milk,1.0,0.5,19.9,1.0,0.0,6.0,0.0,1.5,0.0,100.1,0.039
chocolate pretzels,0.8,1.8,7.8,0.0,0.0,0.076,0.0,0.1,0.2,8.1,0.0
chocolate pudding,3.1,6.9,34.5,0.0,0.045,0.5,0.0,0.5,1.9,76.5,0.0
chocolate pudding fat free,2.2,0.3,23.6,0.3,0.0,0.0,0.0,0.3,1.9,44.1,0.052
chocolate rasberry protein mini proteinfx,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate semisweet,7.1,50.4,107.4,9.9,0.0,0.0,0.0,2.7,5.3,53.8,0.055
chocolate snack cake,1.8,8.0,30.2,1.6,0.001,1.0,0.0,0.5,1.8,58.0,0.006
chocolate soda,0.0,0.0,52.6,0.0,0.0,0.0,0.0,0.8,0.5,19.7,0.015
chocolate soymilk,5.5,3.7,24.2,1.0,0.0,0.2,4.1,0.023,0.5,0.074,347.5
chocolate soymilk nonfat,6.0,0.046,20.7,0.5,0.1,0.0,0.062,0.2,0.9,281.9,0.027
chocolate syrup,0.8,0.4,25.4,1.0,0.0,0.009,0.0,0.3,0.8,5.5,0.08
chocolate wafers,7.4,15.9,81.1,3.8,0.089,0.0,0.0,1.2,4.5,34.7,0.048
chocolate yogurt,5.3,0.0,35.3,1.8,0.0,0.0,0.0,1.7,0.6,132.0,0.069
chokecherries,4.7,2.6,51.8,30.8,0.0,8.5,0.0,0.5,1.1,92.4,0.0
chopped ham,4.6,2.9,1.2,0.0,0.0,0.0,0.025,0.5,0.2,2.0,0.098
chow mein noodles,5.9,9.9,37.5,1.5,0.0,0.0,0.0,0.8,2.6,11.2,0.086
chow mein stir fry master foods,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chowchow pickles,3.7,2.2,65.3,3.7,0.0,14.7,0.0,0.6,3.4,56.4,0.091
chrysanthemum cooked,1.6,0.036,4.3,2.3,0.0,0.1,23.9,0.001,0.1,0.1,569.0
chrysanthemum raw,1.7,0.3,1.5,1.5,0.0,0.061,0.7,0.0,0.044,0.2,289.2
chuck blade roast cooked,66.1,62.0,0.0,0.0,0.0,0.0,0.003,20.8,7.7,32.1,0.061
chuck blade roast raw,77.8,88.0,0.0,0.0,0.0,0.0,0.0,22.6,9.3,45.4,0.049
chuck eye steak grilled,76.9,60.5,0.0,0.0,4.0,1.1,0.0,0.012,0.2,0.02,1001.0
